timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1731376591426,1,HTTP Request,200,OK,Thread Group 1-20,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,1,0,1
1731376591626,1,HTTP Request,201,CREATED,Thread Group 1-21,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,1,0,0
1731376591627,1,HTTP Request,200,OK,Thread Group 1-21,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,1,0,0
1731376591825,2,HTTP Request,201,CREATED,Thread Group 1-22,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,2,0,0
1731376591827,2,HTTP Request,200,OK,Thread Group 1-22,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,2,0,1
1731376592027,4,HTTP Request,201,CREATED,Thread Group 1-23,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,4,0,1
1731376592032,2,HTTP Request,200,OK,Thread Group 1-23,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,2,0,0
1731376592226,4,HTTP Request,201,CREATED,Thread Group 1-24,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,4,0,1
1731376592231,2,HTTP Request,200,OK,Thread Group 1-24,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,1,0,0
1731376592424,3,HTTP Request,201,CREATED,Thread Group 1-25,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,3,0,1
1731376592427,1,HTTP Request,200,OK,Thread Group 1-25,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,1,0,0
1731376592624,2,HTTP Request,201,CREATED,Thread Group 1-26,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,2,0,1
1731376592626,1,HTTP Request,200,OK,Thread Group 1-26,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,1,0,1
1731376592825,4,HTTP Request,201,CREATED,Thread Group 1-27,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,4,0,2
1731376592830,2,HTTP Request,200,OK,Thread Group 1-27,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,2,0,1
1731376593026,5,HTTP Request,201,CREATED,Thread Group 1-28,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,5,0,1
1731376593031,3,HTTP Request,200,OK,Thread Group 1-28,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,3,0,1
1731376593225,2,HTTP Request,201,CREATED,Thread Group 1-29,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,2,0,1
1731376593227,2,HTTP Request,200,OK,Thread Group 1-29,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,2,0,1
1731376593425,1,HTTP Request,201,CREATED,Thread Group 1-30,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,1,0,0
1731376593426,1,HTTP Request,200,OK,Thread Group 1-30,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,1,0,1
1731376593625,2,HTTP Request,201,CREATED,Thread Group 1-31,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,2,0,0
1731376593627,2,HTTP Request,200,OK,Thread Group 1-31,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,2,0,0
1731376593825,1,HTTP Request,201,CREATED,Thread Group 1-32,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,1,0,0
1731376593826,1,HTTP Request,200,OK,Thread Group 1-32,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,1,0,0
1731376594025,1,HTTP Request,201,CREATED,Thread Group 1-33,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,1,0,0
1731376594026,1,HTTP Request,200,OK,Thread Group 1-33,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,1,0,0
1731376594225,4,HTTP Request,201,CREATED,Thread Group 1-34,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,4,0,2
1731376594229,2,HTTP Request,200,OK,Thread Group 1-34,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,2,0,1
1731376594423,1,HTTP Request,201,CREATED,Thread Group 1-35,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,1,0,0
1731376594425,1,HTTP Request,200,OK,Thread Group 1-35,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,1,0,0
1731376594625,2,HTTP Request,201,CREATED,Thread Group 1-36,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,2,0,1
1731376594628,1,HTTP Request,200,OK,Thread Group 1-36,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,1,0,0
1731376594826,5,HTTP Request,201,CREATED,Thread Group 1-37,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,5,0,1
1731376594832,2,HTTP Request,200,OK,Thread Group 1-37,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,2,0,1
1731376595027,5,HTTP Request,201,CREATED,Thread Group 1-38,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,5,0,1
1731376595032,3,HTTP Request,200,OK,Thread Group 1-38,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,2,0,1
1731376595225,3,HTTP Request,201,CREATED,Thread Group 1-39,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,3,0,1
1731376595229,2,HTTP Request,200,OK,Thread Group 1-39,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,2,0,0
1731376595425,2,HTTP Request,201,CREATED,Thread Group 1-40,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,2,0,0
1731376595427,1,HTTP Request,200,OK,Thread Group 1-40,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,1,0,0
1731376595625,2,HTTP Request,201,CREATED,Thread Group 1-41,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,2,0,1
1731376595628,1,HTTP Request,200,OK,Thread Group 1-41,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,1,0,0
1731376595826,5,HTTP Request,201,CREATED,Thread Group 1-42,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,5,0,1
1731376595832,2,HTTP Request,200,OK,Thread Group 1-42,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,2,0,1
1731376596026,3,HTTP Request,201,CREATED,Thread Group 1-43,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,3,0,1
1731376596029,2,HTTP Request,200,OK,Thread Group 1-43,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,2,0,1
1731376596226,3,HTTP Request,201,CREATED,Thread Group 1-44,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,3,0,1
1731376596229,2,HTTP Request,200,OK,Thread Group 1-44,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,2,0,0
1731376596425,3,HTTP Request,201,CREATED,Thread Group 1-45,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,3,0,1
1731376596428,1,HTTP Request,200,OK,Thread Group 1-45,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,1,0,0
1731376596625,3,HTTP Request,201,CREATED,Thread Group 1-46,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,3,0,1
1731376596628,2,HTTP Request,200,OK,Thread Group 1-46,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,1,0,0
1731376596825,2,HTTP Request,201,CREATED,Thread Group 1-47,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,2,0,0
1731376596827,1,HTTP Request,200,OK,Thread Group 1-47,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,1,0,0
1731376597025,2,HTTP Request,201,CREATED,Thread Group 1-48,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,2,0,0
1731376597027,2,HTTP Request,200,OK,Thread Group 1-48,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,2,0,1
1731376597227,5,HTTP Request,201,CREATED,Thread Group 1-49,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,5,0,1
1731376597232,2,HTTP Request,200,OK,Thread Group 1-49,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,2,0,1
1731376597425,2,HTTP Request,201,CREATED,Thread Group 1-50,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,2,0,1
1731376597427,2,HTTP Request,200,OK,Thread Group 1-50,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,2,0,1
